 PPID   PID  PGID   SID TTY      TPGID STAT   UID   TIME COMMAND
 2103  2141  2102  2102 ?           -1 S        0   1:26 hald-addon-storage: no polling on /dev/fd0 because it is explicitly disabled
 2103  2142  2102  2102 ?           -1 S        0  28:37 hald-addon-storage: polling /dev/sr0 (every 2 sec)
 2103  2147  2102  2102 ?           -1 S      108   0:00 hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
    1  2305  1743  1743 ?           -1 Sl       0   0:03 /usr/bin/gnome-keyring-daemon --daemonize --login
 2055  2323  2323  2323 ?           -1 Ssl      0   0:15 gnome-session
 2323  2358  2358  2358 ?           -1 Ss       0   0:26 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-session gnome-session
    1  2361  2323  2323 ?           -1 S        0   0:00 /usr/bin/dbus-launch --exit-with-session gnome-session
    1  2362  2362  2362 ?           -1 Ss       0   0:27 /bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
    1  2365  2362  2362 ?           -1 S        0   1:12 /usr/lib/libgconf2-4/gconfd-2
    1  2371  2371  2371 ?           -1 Ss       0   8:21 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
    1  2374  2362  2362 ?           -1 S        0   0:03 /usr/lib/gvfs/gvfsd
    1  2378  2378  2378 ?           -1 Ssl      0   0:03 /usr/lib/gvfs//gvfs-fuse-daemon /root/.gvfs
    1  2386  2323  2323 ?           -1 S        0 104:09 /usr/lib/vmware-tools/sbin32/vmtoolsd -n vmusr
 2323  2387  2323  2323 ?           -1 S        0   0:42 gnome-power-manager
 2323  2388  2323  2323 ?           -1 S        0   0:07 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 2323  2391  2323  2323 ?           -1 S        0   5:57 gnome-panel
 2323  2392  2323  2323 ?           -1 S        0   0:16 bluetooth-applet
 2323  2393  2323  2323 ?           -1 R        0   8:46 nautilus
 2323  2394  2323  2323 ?           -1 Sl       0   2:21 metacity --replace
 2323  2399  2323  2323 ?           -1 S        0   5:10 nm-applet --sm-disable
    1  2423  2362  2362 ?           -1 S        0   3:52 /usr/lib/gvfs/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
    1  2439  2439  2439 ?           -1 Ss       0   2:26 gnome-screensaver
    1  2440  2440  2440 ?           -1 Ssl      0   0:00 /usr/lib/bonobo-activation/bonobo-activation-server --ac-activate --ior-output-fd=19
    1  2442  2362  2362 ?           -1 S        0   3:59 /usr/lib/gvfs/gvfs-gdu-volume-monitor
    1  2447   690   690 ?           -1 Sl       0   0:08 /usr/lib/udisks/udisks-daemon
 2447  2452   690   690 ?           -1 S        0   8:13 udisks-daemon: polling /dev/sr0
    1  2454  2362  2362 ?           -1 S        0   0:05 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
    1  2458  2440  2440 ?           -1 S        0   3:21 /usr/lib/gnome-panel/wnck-applet --oaf-activate-iid=OAFIID:GNOME_Wncklet_Factory --oaf-ior-fd=18
    1  2462  2440  2440 ?           -1 S        0   0:21 /usr/lib/gnome-applets/trashapplet --oaf-activate-iid=OAFIID:GNOME_Panel_TrashApplet_Factory --oaf-ior-fd=24
    1  2465  2362  2362 ?           -1 Sl       0   5:04 /usr/lib/gvfs/gvfs-afc-volume-monitor
    1  2476  2362  2362 ?           -1 S        0   0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.6 /org/gtk/gvfs/exec_spaw/1
 2323  2481  2323  2323 ?           -1 S        0   0:07 /usr/lib/gnome-disk-utility/gdu-notification-daemon
    1  2487  2440  2440 ?           -1 S        0 157:08 /usr/lib/gnome-panel/clock-applet --oaf-activate-iid=OAFIID:GNOME_ClockApplet_Factory --oaf-ior-fd=19
    1  2489  2440  2440 ?           -1 S        0   0:16 /usr/lib/gnome-panel/notification-area-applet --oaf-activate-iid=OAFIID:GNOME_NotificationAreaApplet_Factory --oaf-ior-fd=28
    1  2492  2440  2440 ?           -1 S        0   3:16 /usr/lib/indicator-applet/indicator-applet-session --oaf-activate-iid=OAFIID:GNOME_FastUserSwitchApplet_Factory --oaf-ior-fd=25
    1  2493  2440  2440 ?           -1 S        0   0:44 /usr/lib/indicator-applet/indicator-applet --oaf-activate-iid=OAFIID:GNOME_IndicatorApplet_Factory --oaf-ior-fd=37
    1  2508  2362  2362 ?           -1 S        0   0:03 /usr/lib/gvfs/gvfsd-metadata
    1  2512  2362  2362 ?           -1 S        0   2:33 /usr/lib/indicator-session/indicator-session-service
    1  2520  2362  2362 ?           -1 S        0   0:01 /usr/lib/indicator-sound/indicator-sound-service
    1  2521  2362  2362 ?           -1 S        0   1:12 /usr/lib/indicator-me/indicator-me-service
    1  2523  2362  2362 ?           -1 S        0   0:02 /usr/lib/indicator-messages/indicator-messages-service
    1  2525  2362  2362 ?           -1 S        0   0:10 /usr/lib/indicator-application/indicator-application-service
 2323  2538  2323  2323 ?           -1 S        0   0:32 python /usr/share/system-config-printer/applet.py
 2323  2540  2323  2323 ?           -1 Sl       0   0:20 /usr/lib/evolution/2.28/evolution-alarm-notify
    1  2606  2323  2323 ?           -1 Sl       0   6:42 gnome-terminal
 2606  2607  2323  2323 ?           -1 S        0   0:00 gnome-pty-helper
 2606  2608  2608  2608 pts/0     2608 Ss+      0   0:05 bash
    1  2742  2362  2362 ?           -1 S        0   8:51 /usr/lib/notify-osd/notify-osd
    1  2980  2980  2980 ?           -1 Ss   65534   0:00 /usr/bin/php-cgi
 2980  2982  2980  2980 ?           -1 S    65534   0:01 /usr/bin/php-cgi
 2980  2983  2980  2980 ?           -1 S    65534   0:00 /usr/bin/php-cgi
 2980  2984  2980  2980 ?           -1 S    65534   0:00 /usr/bin/php-cgi
 2980  2985  2980  2980 ?           -1 S    65534   0:04 /usr/bin/php-cgi
 2980  2986  2980  2980 ?           -1 S    65534   0:02 /usr/bin/php-cgi
 2980  2987  2980  2980 ?           -1 S    65534   0:00 /usr/bin/php-cgi
